AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
114311700,2521700,2677100,7962400,3444700,6819900,22203600,9597400,9468400,6868700,1938800,3580000,3379000,4261700,44096200,8657000,12248100,16277600,3286700,2916000,9186900,28880400,19108200,1086500,2562400,8842300,21495300,8336200,5858300
87830100,2331000,2408800,7235700,4008200,8017900,22889400,9520200,10229000,6959800,2399500,3641300,3691300,4566100,42427500,6236100,16013600,18861400,3685700,2802700,7373000,34888400,15114800,1063800,3189800,7081400,25922500,6426700,5378100
79471000,2060400,2073800,6268300,3067400,4256200,14289700,10633100,7562800,5564500,1992800,2728000,2940200,3212900,30120000,4539400,10943500,14324900,3033000,2560100,6065700,20347100,12732700,807300,2281800,6119900,17797900,5308000,4851300
68402200,1523800,2526000,4454700,2415000,3853900,18198800,9498300,6728200,5430600,1367400,2641500,2599200,5074600,33985100,5890700,11521400,17192800,2999200,4328100,8055500,20239900,9951900,949200,2187300,5163000,36663300,5417600,4733500
85925600,2060000,2579600,5097400,2759200,5956700,19055400,9972500,7051000,5265100,1790100,2406000,2961600,4499700,57215500,6363500,11681100,11479800,2294300,4296500,8837400,37769600,8554700,1058900,3273700,5610300,31838700,11291100,5693500
74899000,1630100,2893400,6829900,2633900,5497800,16628400,5904500,9532300,4686100,1309600,2115400,1932100,5990000,43409300,5315600,8931700,10239100,2668700,2582400,14485000,29743600,7991200,785400,2459100,4743800,21622200,10560000,3803900
77033700,6256000,2588700,8508400,2542400,7415000,19386400,7533300,8900900,5222700,2392800,2771900,2908300,4043100,48134900,6212200,12739700,14303900,3169200,2895400,9743500,30474000,11903200,1333300,2844500,6294500,27708900,10981800,7092000
70433700,2639800,2397400,6393000,2260800,5707100,17279900,4942000,6156200,4982100,1763800,2258200,2728000,3338800,39634100,4341700,13181000,18377400,2709300,2751000,8522200,21903900,8772900,1222000,2254300,4884300,23336800,9555900,5649200
113224000,3288900,5232300,7842300,3745900,6548600,26328300,10227500,11025400,8304900,2724900,3881600,3223000,5837500,62447000,6465100,22398700,16220700,5026900,4772700,9382800,42551800,9335000,1950700,3999700,8426400,33118100,21806900,6848500
88598000,2864400,3871900,6093900,2830200,5736300,19571000,7327900,8202100,5888400,2397600,2783100,2970300,3762400,48185400,5684600,33387100,15997900,2918300,3459300,9847600,30198600,7811700,1218800,5628900,6449400,26019000,10479800,5547000
