AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
168.119446,219.267242,189.706161,210.039993,195.315369,206.399994,51.454273,131.91806,150.850006,57.888748,350.980072,342.932312,182.906555,125.493889,46.11224,161.360474,147.619888,58.936348,247.839264,151.582764,74.088387,292.261475,140.08493,167.19101,468.401306,224.012085,50.322716,45.265739,131.876984
172.01181,218.944595,195.258789,217.729996,198.754807,214.25,52.5089,130.952454,154.720001,58.868942,354.585022,344.590576,185.688995,125.29142,46.945713,163.026703,149.778656,59.159737,248.250061,150.940002,75.38665,297.680695,144.032516,168.003616,472.182892,226.477478,50.407734,46.164169,132.290482
171.772903,217.693161,195.65329,218.929993,198.979538,211.740005,52.489548,130.991486,156.350006,59.078308,350.794983,341.498352,185.228531,124.558601,46.742188,162.929276,150.049713,59.150028,247.545837,149.299561,74.815033,297.333221,144.932846,168.659561,473.979828,227.471573,50.445526,45.762745,131.463486
168.119446,216.735001,193.019989,213.580002,190.283234,200.029999,53.960228,130.318466,152.949997,58.212307,340.087494,339.401123,180.849106,120.499222,46.102551,161.935379,146.593735,60.334972,245.433151,143.97229,73.981819,288.626678,141.282059,167.014786,464.392639,223.286377,50.615566,45.191219,136.730682
166.546555,215.845322,192.201416,209.029999,187.557068,196.839996,55.353497,130.133148,151.360001,57.660355,337.145142,338.357361,178.438965,119.90139,43.650597,160.199615,147.281052,60.742901,245.110382,142.984314,73.991501,285.846893,141.430466,167.053955,461.894653,221.377716,50.851734,44.998135,135.854477
163.579987,216.471039,189.794937,198.740005,186.834,195.130005,54.473022,129.138275,148.089996,57.384369,335.420624,308.410828,178.860245,119.486778,43.31139,158.022568,147.019684,60.490368,247.164383,142.141632,73.584579,285.638458,136.721069,167.494522,456.661682,220.015762,50.917862,44.20649,134.338303
159.349121,216.070175,186.352905,196.419998,182.397919,190.539993,52.673382,132.210678,145.869995,57.070332,332.419769,300.880249,175.333191,117.702965,43.272625,158.101013,143.941254,59.820198,242.361923,139.846069,73.478004,278.242371,135.375534,166.574219,453.808197,214.677414,50.454971,43.887905,132.959961
162.00708,214.378784,185.761169,198.429993,180.463242,204.289993,52.953972,131.527924,149.399994,55.880772,331.445465,305.552673,179.628342,117.606537,45.27877,155.080597,139.933472,58.771229,239.662399,139.187424,71.220573,292.45874,135.711899,163.010498,450.125366,216.01947,49.680336,43.704472,132.448013
164.10759,221.965668,191.047485,201.479996,182.778976,208.089996,54.221462,136.921707,149.529999,57.450672,341.120239,308.879059,185.755844,119.73748,46.238228,162.788544,143.244232,61.043991,243.98558,145.783554,73.943062,295.159058,137.3246,169.805054,469.734222,217.977859,51.125687,44.602314,134.269394
164.376358,221.427933,191.866074,205.339996,183.287094,210.529999,53.960228,140.452515,148.460007,56.78611,332.517181,308.079163,186.928146,118.127213,46.228542,161.3862,137.271301,60.451523,240.739914,143.981979,74.194962,296.628357,135.098511,168.228775,469.852692,214.84642,50.700584,44.496117,133.068283
