Date,Open,High,Low,Close*,Adj Close**,Volume
3-Nov-22,"31,985.05","32,185.71","31,727.05","32,001.25","32,001.25","354,440,000"
2-Nov-22,"32,576.28","33,071.93","32,139.77","32,147.76","32,147.76","398,430,000"
1-Nov-22,"32,862.79","32,975.48","32,485.23","32,653.20","32,653.20","323,210,000"
31-Oct-22,"32,754.27","32,883.86","32,586.93","32,732.95","32,732.95","390,890,000"
28-Oct-22,"32,204.31","32,889.81","32,158.38","32,861.80","32,861.80","495,830,000"
27-Oct-22,"32,062.14","32,388.42","31,993.21","32,033.28","32,033.28","375,720,000"
26-Oct-22,"31,738.44","32,172.42","31,738.44","31,839.11","31,839.11","430,400,000"
25-Oct-22,"31,463.65","31,876.15","31,423.53","31,836.74","31,836.74","336,930,000"
24-Oct-22,"31,187.32","31,603.63","31,161.41","31,499.62","31,499.62","345,040,000"
21-Oct-22,"30,291.18","31,119.27","30,206.28","31,082.56","31,082.56","418,190,000"
20-Oct-22,"30,411.92","30,822.96","30,265.20","30,333.59","30,333.59","333,190,000"
19-Oct-22,"30,439.04","30,662.11","30,226.90","30,423.81","30,423.81","314,030,000"
18-Oct-22,"30,697.52","30,837.90","30,301.83","30,523.80","30,523.80","387,130,000"
17-Oct-22,"30,059.58","30,311.95","29,997.62","30,185.82","30,185.82","369,820,000"
14-Oct-22,"30,192.21","30,428.82","29,614.30","29,634.83","29,634.83","379,090,000"
13-Oct-22,"28,755.83","30,168.54","28,660.94","30,038.72","30,038.72","470,260,000"
12-Oct-22,"29,233.06","29,455.12","29,136.03","29,210.85","29,210.85","304,420,000"
11-Oct-22,"29,085.20","29,608.42","29,074.23","29,239.19","29,239.19","352,920,000"
10-Oct-22,"29,419.09","29,485.82","29,010.41","29,202.88","29,202.88","315,410,000"
7-Oct-22,"29,685.27","29,685.27","29,142.66","29,296.79","29,296.79","367,950,000"
6-Oct-22,"30,206.13","30,329.61","29,859.34","29,926.94","29,926.94","306,840,000"
5-Oct-22,"30,078.36","30,454.46","29,886.44","30,273.87","30,273.87","290,610,000"
4-Oct-22,"29,826.67","30,325.05","29,826.67","30,316.32","30,316.32","375,640,000"
3-Oct-22,"28,855.25","29,647.79","28,855.25","29,490.89","29,490.89","397,830,000"
