Date,Open,High,Low,Close,Adj Close,Volume
2022-08-26,209.770004,210.259995,202.699997,202.889999,202.437515,5060200
2022-08-29,201.250000,203.960007,200.619995,202.330002,201.878769,4476200
2022-08-30,203.919998,204.410004,200.210007,201.380005,200.930893,3918200
2022-08-31,201.000000,203.169998,198.639999,198.710007,198.266846,6559000
2022-09-01,198.720001,200.429993,196.660004,200.130005,199.683685,5608300
2022-09-02,202.440002,202.479996,196.850006,197.759995,197.318954,4508100
2022-09-06,197.899994,200.039993,196.399994,198.639999,198.197006,4547800
2022-09-07,198.710007,201.139999,197.220001,200.419998,199.973022,4098300
2022-09-08,197.399994,201.110001,196.960007,200.710007,200.262390,4377600
2022-09-09,202.070007,206.399994,201.350006,205.199997,204.742371,4885600
2022-09-12,206.500000,207.190002,204.949997,206.630005,206.169189,3812300
2022-09-13,202.050003,203.470001,198.869995,199.669998,199.224701,5217900
2022-09-14,200.000000,200.880005,198.059998,199.410004,198.965286,4632800
2022-09-15,198.089996,200.309998,194.529999,195.369995,194.934280,6099300
2022-09-16,190.220001,193.820007,188.220001,193.300003,192.868912,9398200
2022-09-19,191.589996,193.990005,190.710007,193.130005,192.699295,8133600
2022-09-20,191.100006,193.029999,190.289993,192.070007,191.641663,5292500
2022-09-21,192.529999,193.089996,187.000000,187.020004,186.602921,6705900
2022-09-22,186.350006,187.210007,184.660004,185.789993,185.375656,6604700
2022-09-23,183.470001,184.580002,182.229996,183.960007,183.549744,10755800
2022-09-26,183.039993,184.500000,179.899994,180.589996,180.187256,9914600
2022-09-27,182.509995,184.850006,177.020004,177.869995,177.473312,9799600
2022-09-28,177.259995,180.100006,174.830002,179.179993,178.780396,9751000
2022-09-29,178.830002,182.240005,178.729996,180.059998,179.658432,9105200
2022-09-30,180.059998,182.919998,177.600006,177.649994,177.253799,9472300
2022-10-03,179.339996,183.360001,178.149994,181.649994,181.244888,8842300
2022-10-04,185.050003,186.210007,183.070007,185.649994,185.235962,7081400
2022-10-05,183.339996,188.820007,182.360001,187.669998,187.251465,6119900
2022-10-06,186.649994,188.050003,185.250000,185.589996,185.176102,5163000
2022-10-07,183.449997,184.610001,181.929993,183.830002,183.420029,5610300
2022-10-10,184.130005,184.779999,180.899994,182.179993,181.773697,4743800
2022-10-11,180.369995,181.639999,178.190002,179.139999,178.740494,6294500
2022-10-12,179.089996,180.589996,178.220001,178.240005,177.842499,4884300
2022-10-13,175.000000,185.369995,174.600006,184.660004,184.248184,8426400
2022-10-14,186.789993,187.130005,182.070007,182.619995,182.212723,6449400
2022-10-17,186.000000,188.570007,182.850006,185.250000,184.836868,13952100
2022-10-18,189.490005,190.190002,185.740005,187.169998,186.752579,5209200
2022-10-19,185.490005,187.639999,184.759995,186.410004,185.994278,4927000
2022-10-20,186.460007,190.979996,186.429993,187.220001,186.802475,5706700
2022-10-21,185.800003,190.949997,185.050003,190.369995,189.945435,7582500
2022-10-24,191.410004,193.130005,189.100006,190.710007,190.284698,7299200
2022-10-25,190.869995,195.229996,190.720001,194.380005,193.946503,11907200
2022-10-26,196.580002,206.369995,196.500000,203.330002,202.876541,15450000
2022-10-27,203.320007,206.320007,201.589996,204.289993,203.834396,7946700
2022-10-28,205.000000,211.520004,203.309998,209.339996,208.873138,8455600
2022-10-31,208.919998,209.619995,206.199997,207.160004,206.697998,8674100
2022-11-01,208.910004,209.970001,205.330002,206.929993,206.468506,5919500
2022-11-02,205.759995,207.000000,200.580002,200.949997,200.501846,6985600
2022-11-03,198.279999,198.850006,194.179993,194.750000,194.315674,8236200
2022-11-04,197.000000,201.449997,195.339996,196.979996,196.540695,9680100
2022-11-07,198.320007,200.440002,197.169998,200.100006,199.653748,7821300
2022-11-08,201.660004,204.119995,199.740005,201.779999,201.330002,6943700
2022-11-09,200.699997,201.330002,193.330002,193.929993,193.929993,7320200
2022-11-10,203.089996,205.759995,200.020004,205.570007,205.570007,8048900
2022-11-11,206.000000,206.429993,202.149994,205.000000,205.000000,9601000
2022-11-14,203.500000,209.169998,203.210007,206.860001,206.860001,5796100
2022-11-15,209.990005,213.729996,207.509995,209.990005,209.990005,7316100
2022-11-16,208.580002,210.889999,208.220001,210.139999,210.139999,6125300
2022-11-17,207.960007,211.279999,207.320007,210.990005,210.990005,5385600
2022-11-18,213.169998,214.169998,209.740005,210.800003,210.800003,8028500
2022-11-21,210.300003,210.550003,205.889999,206.320007,206.320007,10450900
2022-11-22,207.539993,210.479996,205.350006,210.330002,210.330002,5273100
2022-11-23,210.000000,212.830002,209.919998,211.729996,211.729996,3807300
2022-11-25,211.710007,214.000000,211.389999,213.789993,213.789993,1993500
2022-11-28,212.259995,214.470001,210.649994,211.259995,211.259995,10229400
2022-11-29,209.350006,210.149994,207.350006,209.059998,209.059998,8986900
2022-11-30,208.220001,217.000000,208.009995,217.000000,217.000000,13918100
2022-12-01,217.000000,218.649994,215.300003,217.000000,217.000000,11261500
2022-12-02,215.729996,218.479996,214.240005,217.660004,217.660004,5132800
2022-12-05,215.649994,216.910004,213.050003,213.679993,213.679993,9006300
2022-12-06,212.000000,212.130005,207.639999,209.080002,209.080002,5986000
2022-12-07,208.800003,209.020004,205.130005,207.809998,207.809998,7923800
2022-12-08,209.509995,210.300003,207.750000,209.100006,209.100006,4896500
2022-12-09,207.910004,210.520004,207.520004,208.699997,208.699997,4928400
2022-12-12,210.000000,214.820007,209.470001,214.589996,214.589996,5941700
2022-12-13,219.539993,219.979996,212.619995,213.039993,213.039993,14585000
2022-12-14,212.850006,216.279999,211.630005,213.320007,213.320007,7001700
2022-12-15,209.600006,211.820007,206.820007,207.910004,207.910004,10831800
